Pattern,Category,Notes
Ad-{Gene name},experimental context,adenoviral gene delivery
Adv-{Gene name},experimental context,adenoviral gene delivery
CHY-{Gene name},experimental context,fluorescent protein tag
Chy-{Gene name},experimental context,fluorescent protein tag
DN-{Gene name},inhibition,dominant negative
EGFP-{Gene name},experimental context,fluorescent protein tag
FLAG-{Gene name},experimental context,protein tag
Flag-{Gene name},experimental context,protein tag
GFP-{Gene name},experimental context,fluorescent protein tag
GST {Gene name},experimental context,protein tag
GST-{Gene name},experimental context,protein tag
Gfp-{Gene name},experimental context,fluorescent protein tag
Gst-{Gene name},experimental context,protein tag
HA-{Gene name},experimental context,protein tag
Ha-{Gene name},experimental context,protein tag
Hs{Gene name},species,human
LV-{Gene name},experimental context,lentiviral gene delivery
Lenti-{Gene name} ,experimental context,lentiviral gene delivery
Lentivirus-{Gene name},experimental context,lentiviral gene delivery
Luc-{Gene name},experimental context,luciferase gene tag
Lv-{Gene name},experimental context,lentiviral gene delivery
MBP-{Gene name},experimental context,protein tag
MCHY-{Gene name},experimental context,fluorescent protein tag
MMTV-{Gene name},experimental context,mouse mammary tumor virus gene delivery
MYC-{Gene name},experimental context,protein tag
Mammalian {Gene name},species,
Mmu-{microRNA name},species,mus musculus
Murine {Gene name},species,mus musculus
Mutant {Gene name},protein state,
Mutated {Gene name},protein state,
Myc-{Gene name},experimental context,protein tag
Myr-{Gene name},protein state,myristoylated
P-{Gene name},protein state,phosphorylated
Phospho-{Gene name},protein state,phosphorylated
Phosphor-{Gene name},protein state,phosphorylated
Pro-{Gene name},protein state,uncleaved protein
Recombinant {Gene name},experimental context,
Rh-{Gene name},experimental context,recombinant human
Rh{Gene name},experimental context,recombinant human
SH-{Gene name},inhibition,short hairpin RNA
Si-{Gene name},inhibition,small interfering RNA
Targeting {Gene name},inhibition,genetic or chemical inhibition
Transcription factor {Gene name},generic descriptor,
Ub-{Gene name},protein state,ubiquitinated
WT {Gene name},experimental context,wild-type
WT-{Gene name},experimental context,wild-type
WT{Gene name},experimental context,wild-type
Wild type {Gene name},experimental context,
Wild-type {Gene name},experimental context,
Wt{Gene name},experimental context,wild-type
YFP-{Gene name},experimental context,fluorescent protein tag
activated {Gene name},protein state,
activated-{Gene name},protein state,
active {Gene name},protein state,
cytoplasmic {Gene name},protein state,
cytosolic {Gene name},protein state,
dn-{Gene name},inhibition,dominant negative
dn{Gene name},inhibition,dominant negative
dominant negative {Gene name},inhibition,dominant negative
dominant-negative {Gene name},inhibition,dominant negative
eGFP-{Gene name},experimental context,fluorescent protein tag
egfp-{Gene name},experimental context,fluorescent protein tag
endogenous {Gene name},experimental context,
exogenous {Gene name},experimental context,
flag-{Gene name},experimental context,protein tag
full length {Gene name},experimental context,
full-length {Gene name},experimental context,
gfp-{Gene name},experimental context,fluorescent protein tag
gfp{Gene name},experimental context,fluorescent protein tag
hs{Gene name},species,human
h{Gene name},species,human
lent-{Gene name},experimental context,lentiviral gene delivery
lenti-{Gene name},experimental context,lentiviral gene delivery
lentivirus-{Gene name},experimental context,lentiviral gene delivery
mCherry-{Gene name},experimental context,fluorescent protein tag
mChy-{Gene name},experimental context,fluorescent protein tag
mEGFP-{Gene name},experimental context,fluorescent protein tag
mammalian {Gene name},species,
mcherry-{Gene name},experimental context,fluorescent protein tag
mmu-{microRNA name},species,mus musculus
murine {Gene name},species,mus musculus
mutant {Gene name},protein state,
mutated {Gene name},protein state,
mut{Gene name},protein state,
mut{Gene name}{mutation},protein state,
myc-{Gene name},experimental context,protein tag
myr-{Gene name},protein state,myristoylated
myr{Gene name},protein state,myristoylated
nuclear {Gene name},protein state,
oncogene {Gene name},generic descriptor,
oncogenic {Gene name},generic descriptor,
oncoprotein {Gene name},generic descriptor,
p-{Gene name},protein state,phosphorylated
phospho-{Gene name},protein state,phosphorylated
phosphor-{Gene name},protein state,phosphorylated
phosphorylated {Gene name},protein state,phosphorylated
phosphorylated-{Gene name},protein state,phosphorylated
pro-{Gene name},protein state,uncleaved protein
protease {Gene name},generic descriptor,
protein {Gene name},generic descriptor,
proto-oncogene {Gene name},generic descriptor,
pro{Gene name},protein state,uncleaved protein
p{Gene name},protein state,phosphorylated
rAAV-{Gene name},experimental context,adenoviral gene delivery
recombinant {Gene name},experimental context,
rh-{Gene name},experimental context,recombinant human
rh{Gene name},experimental context,recombinant human
sh-{Gene name},inhibition,short hairpin RNA
shRNA-{Gene name},inhibition,short hairpin RNA
sh{Gene name},inhibition,short hairpin RNA
sh{Gene name},inhibition,short hairpin RNA
si-{Gene name},inhibition,small interfering RNA
silencing {Gene name},inhibition,
transcription factor {Gene name},generic descriptor,
ubiquitinated {Gene name},protein state,
wild type {Gene name},experimental context,
wild-type {Gene name},experimental context,
wt {Gene name},experimental context,wild-type
wt-{Gene name},experimental context,wild-type
wt{Gene name},experimental context,wild-type
{Gene name} Protein,generic descriptor,
{Gene name} Proteins,generic descriptor,
{Gene name} knockdown,inhibition,siRNA-based knockdown
{Gene name} knockout,inhibition,
{Gene name} mRNA,mrna grounding,
{Gene name} protein,generic descriptor,
{Gene name} proteins,generic descriptor,
{Gene name} shRNA,inhibition,siRNA-based knockdown
{Gene name} siRNA,inhibition,siRNA-based knockdown
{Gene name} siRNAs,inhibition,siRNA-based knockdown
{Gene name}-EGFP,experimental context,fluorescent protein tag
{Gene name}-GFP,experimental context,fluorescent protein tag
{Gene name}-KD,inhibition,siRNA-based knockdown
{Gene name}-eGFP,experimental context,fluorescent protein tag
{Gene name}-shRNA,inhibition,siRNA-based knockdown
{Gene name}-{mutation},protein state,
{Gene name}KD,inhibition,siRNA-based knockdown
