(9-1-1) complex,FPLX,9_1_1,,,,
14-3-3,FPLX,p14_3_3,,,,
14-3-3 proteins,FPLX,p14_3_3,,,,
14-3-3zeta,UP,P63104,,,,
17β-Estradiol,CHEBI,CHEBI:16469,,,,
17β-estradiol,CHEBI,CHEBI:16469,,,,
4E-BP1,UP,Q13541,,,,
4EBP,FPLX,EIF4EBP,,,,
4EBP1,UP,Q13541,,,,
53BP1,UP,Q12888,,,,
55S Mitoribosome,FPLX,Mitochondrial_Ribosome,,,,
55S mammalian mitochondrial ribosome,FPLX,Mitochondrial_Ribosome,,,,
55S mitoribosome,FPLX,Mitochondrial_Ribosome,,,,
55s Mitoribosome,FPLX,Mitochondrial_Ribosome,,,,
55s mitoribosome,FPLX,Mitochondrial_Ribosome,,,,
9-1-1,FPLX,9_1_1,,,,
9-1-1 complex,FPLX,9_1_1,,,,
A2t,FPLX,Annexin_II_heterotetramer,,,,
ABA,PUBCHEM,5280896,CHEBI,CHEBI:2365,,
ABL,FPLX,ABL_family,,,,
ABL family,FPLX,ABL_family,,,,
AC,MESH,D000230,,,,
AC,UP,Q08828,,,,
ACAD,FPLX,ACAD,,,,
ACC,FPLX,ACC,,,,
ACCs,FPLX,ACC,,,,
ACS,FPLX,Acetyl_CoA_synthetase,,,,
ADP,CHEBI,CHEBI:16761,PUBCHEM,6022,,
ADP ribosylation factor,FPLX,ARF_GTPase_family,,,,
AHR,UP,P35869,,,,
AICAR,PUBCHEM,65110,CHEBI,CHEBI:18406,,
AIM1,HGNC,CRYBG1,,,,
AKT,FPLX,AKT,,,,
AKT family,FPLX,AKT,,,,
AKT1,UP,P31749,,,,
AKT2,UP,P31751,,,,
ALDH,FPLX,ALDH,,,,
ALDO,FPLX,ALDO,,,,
ALG10,FPLX,ALG10,,,,
ALIX,HGNC,PDCD6IP,UP,Q8WUM4,,
ALK,UP,Q9UM73,,,,
ALS,UP,P35858,,,,
AM,HGNC,ADM,UP,P35318,,
AM,MESH,D000650,,,,
AMG655,MESH,C554537,,,,
AMLC,FPLX,MYL_alkali,,,,
AMP,HMDB,HMDB00045,CHEBI,CHEBI:16027,PUBCHEM,6083
AMP-activated,FPLX,AMPK,,,,
AMPA glutamate receptor,FPLX,GRIA,,,,
AMPA receptor,FPLX,GRIA,,,,
AMPA-R,FPLX,GRIA,,,,
AMPA-subtype ionotropic glutamate receptors,FPLX,GRIA,,,,
AMPAR,FPLX,GRIA,,,,
AMPARs,FPLX,GRIA,,,,
AMPK,FPLX,AMPK,,,,
AMPK (A1/B1/G1),FPLX,AMPK_A1B1G1,,,,
AMPK (A1/B1/G2),FPLX,AMPK_A1B1G2,,,,
AMPK (A1/B1/G3),FPLX,AMPK_A1B1G3,,,,
AMPK (A1/B2/G1),FPLX,AMPK_A1B2G1,,,,
AMPK (A1/B2/G2),FPLX,AMPK_A1B2G2,,,,
AMPK (A1/B2/G3),FPLX,AMPK_A1B2G3,,,,
AMPK (A2/B1/G1),FPLX,AMPK_A2B1G1,,,,
AMPK (A2/B1/G2),FPLX,AMPK_A2B1G2,,,,
AMPK (A2/B1/G3),FPLX,AMPK_A2B1G3,,,,
AMPK (A2/B2/G1),FPLX,AMPK_A2B2G1,,,,
AMPK (A2/B2/G2),FPLX,AMPK_A2B2G2,,,,
AMPK (A2/B2/G3),FPLX,AMPK_A2B2G3,,,,
"AMPK (alpha 1, beta 1, gamma 1)",FPLX,AMPK_A1B1G1,,,,
"AMPK (alpha 1, beta 1, gamma 2)",FPLX,AMPK_A1B1G2,,,,
"AMPK (alpha 1, beta 1, gamma 3)",FPLX,AMPK_A1B1G3,,,,
"AMPK (alpha 1, beta 2, gamma 1)",FPLX,AMPK_A1B2G1,,,,
"AMPK (alpha 1, beta 2, gamma 2)",FPLX,AMPK_A1B2G2,,,,
"AMPK (alpha 1, beta 2, gamma 3)",FPLX,AMPK_A1B2G3,,,,
"AMPK (alpha 2, beta 1, gamma 1)",FPLX,AMPK_A2B1G1,,,,
"AMPK (alpha 2, beta 1, gamma 2)",FPLX,AMPK_A2B1G2,,,,
"AMPK (alpha 2, beta 1, gamma 3)",FPLX,AMPK_A2B1G3,,,,
